Year,Month,Solid fuels,Gas ,Electricity ,Liquid fuels
1996,January,45.4,43.3,62.5,33.2
1996,February,45.4,43.3,62.5,32.9
1996,March,45.4,43.3,62.5,33.9
1996,April,45.4,43.3,62.5,34.9
1996,May,44.0,43.3,62.6,32.8
1996,June,43.8,43.3,62.9,32.1
1996,July,43.9,43.3,63.0,32.6
1996,August,43.9,43.3,62.7,32.9
1996,September,44.8,43.3,62.4,37.4
1996,October,45.7,43.3,61.7,40.7
1996,November,46.1,43.3,61.3,36.5
1996,December,46.1,43.3,61.1,38.3
1997,January,46.2,43.3,60.4,38.5
1997,February,46.2,43.3,60.7,36.1
1997,March,46.1,43.3,60.9,33.0
1997,April,46.0,43.1,60.8,31.3
1997,May,44.7,43.1,60.4,31.4
1997,June,44.5,43.1,60.1,30.6
1997,July,44.6,43.1,59.7,29.3
1997,August,44.4,43.1,59.5,30.5
1997,September,44.3,42.1,57.7,29.8
1997,October,45.9,42.1,57.6,31.3
1997,November,45.9,42.1,57.1,31.2
1997,December,45.9,42.1,56.7,30.3
1998,January,45.9,41.6,56.6,28.1
1998,February,45.9,41.6,57.1,26.6
1998,March,45.9,41.4,57.6,25.0
1998,April,45.9,41.4,57.6,25.2
1998,May,44.8,41.4,57.0,25.3
1998,June,44.9,41.3,56.5,24.5
1998,July,45.1,41.4,56.1,23.7
1998,August,45.1,41.4,56.1,23.2
1998,September,45.4,41.4,56.1,24.0
1998,October,46.9,41.4,56.1,24.9
1998,November,47.0,41.4,56.1,24.0
1998,December,47.0,41.4,56.1,22.3
1999,January,47.0,41.6,56.1,22.5
1999,February,47.0,41.6,56.1,22.2
1999,March,47.0,41.7,56.1,23.3
1999,April,47.1,41.3,56.1,25.8
1999,May,46.0,41.3,56.0,25.5
1999,June,45.9,41.3,56.0,25.5
1999,July,45.9,41.3,55.8,28.8
1999,August,45.9,41.3,55.8,29.4
1999,September,46.3,41.3,55.8,31.4
1999,October,47.4,41.3,55.8,31.4
1999,November,47.6,41.3,55.8,33.2
1999,December,47.7,41.3,55.8,38.1
2000,January,47.8,41.3,55.8,37.3
2000,February,47.7,41.3,55.8,37.5
2000,March,47.8,41.3,55.7,38.8
2000,April,47.7,40.2,55.6,37.7
2000,May,46.5,40.2,55.1,36.8
2000,June,46.2,40.2,54.5,37.9
2000,July,46.1,40.2,54.2,40.9
2000,August,46.2,40.2,54.2,41.2
2000,September,47.1,40.2,54.2,52.2
2000,October,48.6,40.4,54.2,55.2
2000,November,49.0,40.4,54.2,51.4
2000,December,49.1,40.4,54.2,48.8
2001,January,49.3,40.4,54.2,42.4
2001,February,49.1,40.5,54.2,43.0
2001,March,49.1,40.5,54.2,41.6
2001,April,49.1,42.1,54.2,40.3
2001,May,48.6,42.2,54.2,42.1
2001,June,48.4,42.2,54.3,42.2
2001,July,48.1,42.2,54.3,40.4
2001,August,48.2,42.2,54.3,39.2
2001,September,50.6,42.2,54.4,46.6
2001,October,51.9,42.2,54.4,38.5
2001,November,52.2,42.2,54.4,34.9
2001,December,52.3,42.2,54.4,32.8
2002,January,52.3,44.1,54.4,34.3
2002,February,52.3,44.1,54.4,33.2
2002,March,52.4,44.2,54.4,35.2
2002,April,52.4,44.3,54.4,36.5
2002,May,51.6,44.3,54.5,36.7
2002,June,51.4,44.5,54.5,35.7
2002,July,51.4,44.5,54.5,35.2
2002,August,51.3,44.5,54.5,34.8
2002,September,52.2,44.5,54.5,39.3
2002,October,53.2,44.5,54.5,39.7
2002,November,53.7,44.5,54.5,36.1
2002,December,53.6,44.6,54.5,40.0
2003,January,53.5,44.6,54.7,41.9
2003,February,53.5,44.6,54.7,49.2
2003,March,53.6,44.6,54.7,50.7
2003,April,53.2,44.7,54.7,37.9
2003,May,52.7,45.0,54.8,35.7
2003,June,52.6,45.3,54.9,35.0
2003,July,52.6,45.4,55.1,36.2
2003,August,52.6,45.5,55.3,37.7
2003,September,53.3,45.5,55.4,37.2
2003,October,54.4,45.6,55.4,40.4
2003,November,54.5,45.8,55.6,40.2
2003,December,54.5,45.9,55.7,42.1
2004,January,54.7,46.2,56.0,41.3
2004,February,54.9,46.7,56.3,40.2
2004,March,54.8,47.4,57.0,40.7
2004,April,54.8,47.8,57.6,44.2
2004,May,54.4,47.9,57.9,47.7
2004,June,54.3,48.0,58.3,44.9
2004,July,54.6,48.2,58.4,45.3
2004,August,55.5,48.3,58.5,49.7
2004,September,56.9,48.4,58.8,52.2
2004,October,59.1,49.1,59.4,59.2
2004,November,59.8,50.7,60.4,55.0
2004,December,60.4,52.4,61.6,51.0
2005,January,60.6,53.3,62.5,51.8
2005,February,61.1,53.6,63.0,51.8
2005,March,61.2,53.7,63.4,59.2
2005,April,61.2,54.0,63.6,61.3
2005,May,60.6,54.1,63.8,57.9
2005,June,60.4,54.4,63.9,63.7
2005,July,60.3,54.4,63.9,68.1
2005,August,61.1,54.5,64.0,72.3
2005,September,61.7,55.1,64.8,73.8
2005,October,64.4,57.3,66.2,76.8
2005,November,65.0,59.4,67.6,68.4
2005,December,65.2,60.6,68.2,71.0
2006,January,65.3,61.1,68.9,72.3
2006,February,65.3,61.3,69.7,73.7
2006,March,65.4,63.3,71.6,74.5
2006,April,65.5,67.3,74.6,76.6
2006,May,66.2,71.4,77.7,77.1
2006,June,64.9,73.4,79.6,77.0
2006,July,64.8,74.1,80.4,79.5
2006,August,65.4,74.9,81.0,77.8
2006,September,66.2,76.8,82.1,73.7
2006,October,69.6,80.5,84.3,67.6
2006,November,70.4,83.0,85.9,64.5
2006,December,70.4,84.6,86.9,67.6
2007,January,70.5,84.8,87.3,62.9
2007,February,70.7,85.1,87.6,64.3
2007,March,70.7,84.4,87.6,66.6
2007,April,70.7,82.1,86.8,69.3
2007,May,70.4,79.4,85.8,69.0
2007,June,70.0,77.2,84.6,70.7
2007,July,69.9,75.5,83.6,72.6
2007,August,70.0,74.4,83.1,71.1
2007,September,70.8,73.9,83.1,75.5
2007,October,72.9,73.6,83.0,78.3
2007,November,74.2,73.6,83.0,88.8
2007,December,75.7,73.7,83.0,89.3
2008,January,76.6,74.1,83.4,92.7
2008,February,77.0,83.4,92.2,92.9
2008,March,77.3,83.4,92.2,106.1
2008,April,77.5,85.1,94.1,117.3
2008,May,79.1,85.1,94.1,127.2
2008,June,80.7,85.1,94.1,132.9
2008,July,81.5,85.2,94.1,139.6
2008,August,82.4,95.1,98.1,118.3
2008,September,89.8,110.8,108.2,115.3
2008,October,98.2,111.1,109.0,98.5
2008,November,99.0,110.9,109.0,90.5
2008,December,99.9,110.9,109.0,80.5
2009,January,101.0,110.9,108.7,79.3
2009,February,101.1,110.9,108.7,74.9
2009,March,101.0,106.2,108.2,67.5
2009,April,101.0,105.1,102.7,71.5
2009,May,99.3,105.1,100.5,71.6
2009,June,98.5,105.1,100.5,79.2
2009,July,97.7,104.6,100.5,70.9
2009,August,98.3,104.6,100.5,79.0
2009,September,98.5,104.6,100.5,77.1
2009,October,100.6,104.5,100.1,82.0
2009,November,101.4,104.5,100.1,84.3
2009,December,101.5,104.5,100.1,86.2
2010,January,101.4,104.6,100.1,103.6
2010,February,101.5,101.6,100.1,90.6
2010,March,101.5,101.6,100.1,97.0
2010,April,101.5,98.7,99.9,100.1
2010,May,99.1,98.7,99.9,100.1
2010,June,97.8,98.7,99.9,96.8
2010,July,96.9,98.7,99.9,95.0
2010,August,97.6,98.7,99.9,94.8
2010,September,98.1,98.7,99.9,94.5
2010,October,101.0,98.7,99.6,98.2
2010,November,101.6,98.7,99.6,101.6
2010,December,102.2,103.2,100.9,128.1
2011,January,103.1,104.1,101.7,125.5
2011,February,104.0,104.5,103.2,119.8
2011,March,103.7,105.0,104.0,130.4
2011,April,104.1,105.0,104.0,135.7
2011,May,102.7,105.0,104.0,125.4
2011,June,102.5,105.0,104.0,128.7
2011,July,102.7,105.0,104.0,124.8
2011,August,102.8,106.9,105.0,120.1
2011,September,103.4,120.7,112.8,123.8
2011,October,109.1,122.4,114.5,123.2
2011,November,109.9,123.6,115.1,130.9
2011,December,110.1,123.6,115.1,131.4
2012,January,110.2,123.6,115.1,131.6
2012,February,109.5,122.4,113.7,134.1
2012,March,110.0,121.9,112.4,136.4
2012,April,110.0,121.2,112.4,134.8
2012,May,107.7,121.2,112.3,127.3
2012,June,106.8,121.2,112.3,117.4
2012,July,107.2,121.2,112.3,120.4
2012,August,107.0,121.2,112.3,128.9
2012,September,107.5,121.2,112.3,132.4
2012,October,108.4,121.2,111.8,133.9
2012,November,108.9,123.5,113.8,130.7
2012,December,109.4,130.1,119.6,137.5
2013,January,109.5,129.9,119.6,134.7
2013,February,109.8,131.3,121.0,143.2
2013,March,109.2,131.3,121.0,141.5
2013,April,109.2,131.3,121.0,133.9
2013,May,109.4,131.3,121.0,125.0
2013,June,109.3,131.3,121.0,124.7
2013,July,109.6,131.3,121.4,128.0
2013,August,109.5,131.3,121.4,128.0
2013,September,110.1,131.3,121.4,131.1
2013,October,111.4,131.3,121.4,127.1
2013,November,112.4,131.3,121.4,124.7
2013,December,112.6,140.1,129.3,128.4
2014,January,113.3,138.8,129.1,125.1
2014,February,113.3,139.1,129.3,125.3
2014,March,113.2,138.7,129.1,121.7
2014,April,113.4,138.0,128.3,119.6
2014,May,112.5,138.0,128.3,118.3
2014,June,112.3,138.0,128.3,117.5
2014,July,112.1,138.0,128.3,116.4
2014,August,111.9,138.0,128.3,116.7
2014,September,112.5,138.0,128.3,115.0
2014,October,114.6,138.0,128.3,109.5
2014,November,114.8,138.0,128.3,108.1
2014,December,114.8,138.0,128.3,99.3
2015,January,114.6,137.3,128.3,86.7
2015,February,114.6,136.4,128.3,91.0
2015,March,114.8,132.8,128.3,88.3
2015,April,114.9,132.7,128.0,88.5
2015,May,112.5,131.9,128.0,89.8
2015,June,112.1,131.9,127.9,87.4
2015,July,112.0,131.9,127.9,83.7
2015,August,112.0,131.9,127.9,74.4
2015,September,112.4,129.0,127.9,75.6
2015,October,113.8,129.0,127.9,75.6
2015,November,114.1,129.0,127.9,73.0
2015,December,114.1,129.0,127.9,67.3
2016,January,114.1,129.0,127.9,61.2
2016,February,114.2,128.1,127.9,58.6
2016,March,114.0,124.8,127.9,63.2
2016,April,114.2,123.1,127.7,64.7
2016,May,112.8,123.1,127.7,68.7
2016,June,111.9,123.1,127.7,74.2
2016,July,111.0,123.1,127.7,74.4
2016,August,111.1,123.1,127.7,72.9
2016,September,112.0,123.1,127.7,76.2
2016,October,114.0,123.1,127.7,86.9
2016,November,114.8,123.1,127.7,83.4
2016,December,115.4,123.1,127.7,90.6
2017,January,115.7,122.6,127.7,96.0
2017,February,116.2,122.6,127.7,94.5
2017,March,116.2,122.6,128.9,89.8
2017,April,116.3,121.9,132.1,89.9
2017,May,114.8,122.4,137.5,83.7
2017,June,114.5,122.4,137.5,82.2
2017,July,114.4,123.1,139.2,81.5
2017,August,114.4,123.1,139.2,85.3
2017,September,114.4,123.1,139.2,88.8
2017,October,116.8,123.1,142.3,89.7
2017,November,118.0,123.2,142.3,98.0
2017,December,118.4,123.2,142.3,105.6
2018,January,118.6,123.4,142.3,106.9
2018,February,118.6,123.4,142.3,105.1
2018,March,119.0,123.4,142.3,110.5
2018,April,118.8,123.7,143.5,110.9
2018,May,115.6,123.9,143.7,114.8
2018,June,115.3,126.9,146.9,113.7
2018,July,116.0,128.4,149.4,110.8
2018,August,116.2,128.4,149.4,112.2
2018,September,115.8,129.8,152.1,117.7
2018,October,120.0,132.5,155.2,126.2
2018,November,119.1,132.5,155.2,119.1
2018,December,121.5,132.5,155.2,111.6
2019,January,121.5,121.2,147.6,107.7
2019,February,121.6,121.4,147.8,110.1
2019,March,121.9,121.4,147.8,110.9
2019,April,119.9,132.6,163.8,111.4
2019,May,120.9,132.6,163.8,113.2
2019,June,121.6,132.6,163.8,108.7
2019,July,121.3,132.6,163.8,108.0
2019,August,120.5,132.6,163.8,109.7
2019,September,121.0,132.6,163.8,109.8
2019,October,122.8,121.0,160.3,113.8
2019,November,125.8,121.0,160.3,110.3
2019,December,126.4,121.0,160.3,110.4
2020,January,125.3,121.0,160.3,114.1
